HR ID;Name;Surname;Skill;Level;Avg daily rate €;Length of service (years);Annual Gross Salary (k€);Entry date;End date;Reason for leaving;1/25;2/25;3/25;4/25;5/25;6/25;7/25;8/25;9/25;10/25;11/25;12/25
C001;Dubois;Marc;Embedded Dev (C/C++);Senior;520;15.2;78;01/09/2010;31/07/2025;Retirement;1;1;1;1;1;1;1;;;;;
C002;Martin;Pierre;Embedded Dev (C/C++);Senior;500;12;72;01/01/2014;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C003;Bernard;Jean;Embedded Dev (C/C++);Senior;490;14;75;01/01/2012;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C004;Petit;François;Embedded Dev (C/C++);Senior;480;10;68;01/01/2016;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C005;Robert;Alain;Embedded Dev (C/C++);Senior;510;13;74;01/01/2013;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C006;Richard;Philippe;Embedded Dev (C/C++);Senior;470;11;70;01/01/2015;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C007;Durand;Michel;Embedded Dev (C/C++);Senior;480;12;71;01/01/2014;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C008;Moreau;Claude;Embedded Dev (C/C++);Senior;490;14;76;01/01/2012;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C009;Laurent;Patrick;Embedded Dev (C/C++);Senior;460;9;66;01/01/2017;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C010;Simon;Gérard;Embedded Dev (C/C++);Senior;500;28,5;82;01/07/1997;28/02/2025;Retirement;1;1;;;;;;;;;;
C011;Lefebvre;Daniel;Embedded Dev (C/C++);Intermediate;450;7;55;01/01/2019;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C012;Leroy;Christian;Embedded Dev (C/C++);Intermediate;440;6;52;01/01/2020;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C013;Roux;André;Embedded Dev (C/C++);Intermediate;460;8;57;01/01/2018;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C014;Garnier;Olivier;Embedded Dev (C/C++);Senior;480;11;69;01/01/2015;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C015;Faure;Éric;Embedded Dev (C/C++);Senior;490;12;72;01/01/2014;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C016;Blanc;Julien;Embedded Dev (C/C++);Senior;470;10;67;01/01/2016;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C017;Bonnet;Sébastien;Embedded Dev (C/C++);Junior;480;2,3;42;01/10/2023;30/11/2025;Fixed-term contract end;1;1;1;1;1;1;1;1;1;1;1;
C018;Rousseau;Thierry;Embedded Dev (C/C++);Junior;500;1,8;40;01/03/2024;31/12/2025;Fixed-term contract end;1;1;1;1;1;1;1;1;1;1;1;1
C019;Vincent;Laurent;Java/JEE;Intermediate;420;5;50;01/01/2021;-;-;1;1;1;1;1;1;1;1;1;1;1;1
C020;Muller;Nicolas;Java/JEE;Intermediate;410;4;48;01/01/2022;-;-;1;1;1;1;1;1;1;1;1;1;1;1
